Date;Last
30-8-1973;2,457
31-8-1973;2,458
4-9-1973;2,441
5-9-1973;2,422
6-9-1973;2,422
7-9-1973;24,185
10-9-1973;24,125
11-9-1973;24,085
12-9-1973;24,065
13-9-1973;24,135
14-9-1973;24,115
17-9-1973;2,411
18-9-1973;24,165
19-9-1973;2,418
20-9-1973;2,421
21-9-1973;2,424
24-9-1973;24,225
25-9-1973;24,225
26-9-1973;2,423
27-9-1973;24,193
28-9-1973;24,135
1-10-1973;24,135
2-10-1973;24,115
3-10-1973;24,138
4-10-1973;24,128
5-10-1973;2,413
9-10-1973;24,118
10-10-1973;24,205
11-10-1973;24,255
12-10-1973;2,426
15-10-1973;24,325
16-10-1973;2,438
17-10-1973;24,525
18-10-1973;24,445
19-10-1973;2,437
23-10-1973;24,455
24-10-1973;24,425
25-10-1973;2,442
26-10-1973;24,355
29-10-1973;24,235
30-10-1973;24,325
31-10-1973;24,385
1-11-1973;24,345
2-11-1973;24,345
5-11-1973;2,43
7-11-1973;24,225
8-11-1973;24,187
9-11-1973;24,015
12-11-1973;2,388
13-11-1973;23,925
14-11-1973;2,397
15-11-1973;2,397
16-11-1973;23,855
19-11-1973;2,39
20-11-1973;2,391
21-11-1973;23,915
23-11-1973;2,346
26-11-1973;2,343
27-11-1973;23,575
28-11-1973;2,336
29-11-1973;2,34
30-11-1973;2,343
3-12-1973;2,34
4-12-1973;23,345
5-12-1973;23,375
6-12-1973;2,337
7-12-1973;2,326
10-12-1973;23,125
11-12-1973;23,065
12-12-1973;23,125
13-12-1973;23,165
14-12-1973;2,31
17-12-1973;2,307
18-12-1973;23,085
19-12-1973;2,31
20-12-1973;2,308
21-12-1973;23,075
24-12-1973;23,105
26-12-1973;23,095
27-12-1973;2,313
28-12-1973;2,318
31-12-1973;23,225
2-1-1974;23,045
3-1-1974;22,855
4-1-1974;2,276
7-1-1974;22,265
8-1-1974;22,295
9-1-1974;2,241
10-1-1974;22,375
11-1-1974;22,485
14-1-1974;2,231
15-1-1974;2,191
16-1-1974;21,775
17-1-1974;2,18
18-1-1974;2,186
21-1-1974;21,735
22-1-1974;2,182
23-1-1974;2,185
24-1-1974;22,015
25-1-1974;2,204
28-1-1974;2,206
29-1-1974;2,22
30-1-1974;2,255
31-1-1974;2,286
1-2-1974;22,765
4-2-1974;22,635
5-2-1974;2,248
6-2-1974;22,335
7-2-1974;22,425
8-2-1974;22,385
11-2-1974;22,425
13-2-1974;22,665
14-2-1974;22,735
15-2-1974;2,278
19-2-1974;2,282
20-2-1974;22,875
21-2-1974;2,295
22-2-1974;23,155
25-2-1974;2,292
26-2-1974;2,311
27-2-1974;23,005
28-2-1974;23,015
1-3-1974;2,286
4-3-1974;22,795
5-3-1974;2,324
6-3-1974;2,33
7-3-1974;23,225
8-3-1974;2,322
11-3-1974;2,322
12-3-1974;2,327
13-3-1974;2,348
14-3-1974;23,455
15-3-1974;2,334
18-3-1974;23,295
19-3-1974;2,331
20-3-1974;2,345
21-3-1974;2,36
22-3-1974;2,341
25-3-1974;23,665
26-3-1974;2,37
27-3-1974;2,375
28-3-1974;2,402
29-3-1974;2,393
1-4-1974;2,396
2-4-1974;2,397
3-4-1974;23,985
4-4-1974;23,925
5-4-1974;2,393
8-4-1974;23,935
9-4-1974;2,383
10-4-1974;23,555
11-4-1974;23,615
12-4-1974;2,364
15-4-1974;23,635
16-4-1974;2,357
17-4-1974;2,368
18-4-1974;2,372
19-4-1974;23,845
22-4-1974;2,39
23-4-1974;2,402
24-4-1974;2,409
25-4-1974;2,403
26-4-1974;2,41
29-4-1974;2,432
30-4-1974;2,424
1-5-1974;24,185
2-5-1974;2,419
3-5-1974;2,418
6-5-1974;2,435
7-5-1974;24,155
8-5-1974;2,43
9-5-1974;24,305
10-5-1974;2,43
13-5-1974;2,429
14-5-1974;24,185
15-5-1974;24,245
16-5-1974;24,125
17-5-1974;2,41
20-5-1974;2,405
21-5-1974;2,406
22-5-1974;24,145
23-5-1974;24,115
24-5-1974;2,401
28-5-1974;2,393
29-5-1974;2,391
30-5-1974;2,392
31-5-1974;2,396
3-6-1974;2,398
4-6-1974;2,401
5-6-1974;2,408
6-6-1974;24,075
7-6-1974;24,025
10-6-1974;2,4
11-6-1974;2,395
12-6-1974;23,945
13-6-1974;23,905
14-6-1974;23,925
17-6-1974;23,895
18-6-1974;23,875
19-6-1974;2,39
20-6-1974;2,386
21-6-1974;2,377
24-6-1974;23,555
25-6-1974;23,705
26-6-1974;23,785
27-6-1974;2,389
28-6-1974;23,905
1-7-1974;2,386
2-7-1974;2,398
3-7-1974;2,397
5-7-1974;2,388
8-7-1974;2,388
9-7-1974;23,875
10-7-1974;2,388
11-7-1974;23,825
12-7-1974;2,386
15-7-1974;23,875
16-7-1974;2,386
17-7-1974;2,39
18-7-1974;23,925
19-7-1974;23,928
22-7-1974;23,915
23-7-1974;2,39
24-7-1974;2,394
25-7-1974;23,905
26-7-1974;23,923
29-7-1974;2,393
30-7-1974;23,825
31-7-1974;2,387
1-8-1974;2,383
2-8-1974;23,845
5-8-1974;2,384
6-8-1974;2,38
7-8-1974;23,762
8-8-1974;23,645
9-8-1974;2,373
12-8-1974;23,695
13-8-1974;23,585
14-8-1974;23,565
15-8-1974;23,447
16-8-1974;23,385
19-8-1974;23,245
20-8-1974;2,32
21-8-1974;23,225
22-8-1974;2,313
23-8-1974;23,225
26-8-1974;23,245
27-8-1974;23,125
28-8-1974;23,185
29-8-1974;23,165
30-8-1974;23,162
3-9-1974;2,31
4-9-1974;23,135
5-9-1974;2,311
6-9-1974;23,106
9-9-1974;2,313
10-9-1974;23,165
11-9-1974;2,315
12-9-1974;23,155
13-9-1974;2,312
16-9-1974;23,133
17-9-1974;2,317
18-9-1974;23,195
19-9-1974;2,315
20-9-1974;23,142
23-9-1974;23,165
24-9-1974;23,148
25-9-1974;2,316
26-9-1974;2,323
27-9-1974;2,332
30-9-1974;23,325
1-10-1974;23,362
2-10-1974;23,335
3-10-1974;2,327
4-10-1974;2,335
7-10-1974;23,357
8-10-1974;23,343
9-10-1974;2,341
10-10-1974;2,325
11-10-1974;2,334
15-10-1974;2,331
16-10-1974;23,337
17-10-1974;23,326
18-10-1974;23,324
21-10-1974;23,299
22-10-1974;23,295
23-10-1974;23,325
24-10-1974;23,315
25-10-1974;23,332
28-10-1974;23,323
29-10-1974;23,342
