"","Date","Y_ndx_loss","ndx_loss_l1","ndx_loss_l2","ndx_price","ndx_vol","aex_return","gdaxi_return","hsi_return","topx_return","rut_return","ssec_return","irts_return","n100_return","vix_return","mktrf","smb","hml","rmw","cma","rf","umd","dxy_return","oil_return","gold_return","wheat_return","silver_return","natgas_return","libor_1m","libor_3m","libor_6m","fedrate","baa10y","ust1m","ust3m","ust1y","ust2y","ust5y","ust10y","ust20y","ust30y","capacity_monthly","capacity_yoy","energy_monthly","energy_yoy","housing_monthly","housing_yoy","unemp_monthly","unemp_yoy","manufac_monthly","manufac_yoy","m2_monthly","m2_yoy","indpro_monthly","indpro_yoy","cpi_monthly","cpi_yoy","gdp_quarterly","gdp_yoy"
"604",12954,0.053990411823245,0.0533114886258095,-0.0461812647162152,1536.48,1557480000,-0.320824677203032,-0.38461789048706,0.24252391635153,-0.143304359693929,-0.364799205203437,2.76434446992935,0.703228724413132,-0.476302889756009,-0.0871080139372804,-0.07,-0.31,0.1,0.05,-0.05,0.01,0.03,0.866294312093914,1.3527397260274,0.0228154232260931,3.51145038167939,-0.450204638472038,-0.260078023407028,3.28,3.44375,3.64,3.01,1.85,2.81,3.02,3.42,3.72,3.88,4.11,4.46,4.34,-0.0110649862806566,2.77035920109382,-5.21174088838176,22.6731238740332,-1.74672489082969,2.221100454316,-1.92307692307693,-8.92857142857143,9.30251425284135,15.5132232242375,0.269520903359726,3.27371930888148,0.106180403195756,3.36254779139124,0.237732,2.3579552,1.9164037590481,7.07713968955454
"605",12955,0.137977715297311,0.053990411823245,0.0533114886258095,1534.36,1668440000,0.61733280569845,0.463279890818556,0.240789859577491,-0.128133942681416,-0.124641655241192,-1.26691884333373,-0.0275270561986663,0.622296637365693,-3.40017436791631,-0.18,0.08,-0.02,-0.33,0.1,0.01,-0.43,-0.350322070290415,-0.489947626288223,0.114051094890511,-1.17994100294985,-0.137042620254896,-2.55541069100391,3.3,3.45188,3.66,2.96,1.85,2.85,3.02,3.42,3.71,3.84,4.06,4.4,4.32,-0.0110649862806566,2.77035920109382,-5.21174088838176,22.6731238740332,-1.74672489082969,2.221100454316,-1.92307692307693,-8.92857142857143,9.30251425284135,15.5132232242375,0.269520903359726,3.27371930888148,0.106180403195756,3.36254779139124,0.237732,2.3579552,1.9164037590481,7.07713968955454
"606",12956,1.19984879689251,0.137977715297311,0.053990411823245,1515.95,2009480000,0.254332835155622,0.249343006134851,1.29955970771173,0.350682119488509,0.37595157868465,0.0496601863300848,0.855022897223363,0.275944311941873,-0.270758122743677,0.05,0.31,0.04,0.11,0.02,0.01,0.16,0.430936720344744,-1.06960950764006,-0.182273866484382,0.298507462686567,-0.466584328255795,-0.428150923200428,3.3,3.46,3.65313,2.93,1.89,2.84,3.03,3.37,3.62,3.72,3.95,4.31,4.23,-0.0110649862806566,2.77035920109382,-5.21174088838176,22.6731238740332,-1.74672489082969,2.221100454316,-1.92307692307693,-8.92857142857143,9.30251425284135,15.5132232242375,0.269520903359726,3.27371930888148,0.106180403195756,3.36254779139124,0.237732,2.3579552,1.9164037590481,7.07713968955454
"607",12957,1.04027177677364,1.19984879689251,0.137977715297311,1500.18,2.151e+09,0.219688251909189,0.170577539180864,0.2077533962949,0.0656296611975267,-1.44999611469423,-0.755966472873308,0.910998074546645,0.225402751849547,9.7737556561086,-1.07,-0.37,0.23,-0.09,-0.1,0.01,-0.03,0.632339656729903,1.64750300326067,0.82173019858479,-1.26488095238095,0.234385771404928,0.416554689599566,3.31438,3.47,3.65,3.05,1.88,2.79,3.07,3.39,3.63,3.74,3.96,4.32,4.27,-0.0110649862806566,2.77035920109382,-5.21174088838176,22.6731238740332,-1.74672489082969,2.221100454316,-1.92307692307693,-8.92857142857143,9.30251425284135,15.5132232242375,0.269520903359726,3.27371930888148,0.106180403195756,3.36254779139124,0.237732,2.3579552,1.9164037590481,7.07713968955454
"608",12961,-0.994811715481165,0.42861523283873,1.04027177677364,1508.61,1584200000,-0.710582414401149,-0.934198770168704,-0.381229054362209,-1.02432123804816,-0.333116543202047,2.06537542132461,-0.282059317929288,-0.879634784545158,2.79146141215107,-0.07,-0.02,0.56,0.52,-0.33,0.01,0.91,-0.371705339040322,0.251551232601037,-0.0454029511918249,-2.50368188512518,-0.522121461940085,-3.01630434782609,3.32563,3.48,3.65,3.17,1.89,2.85,3.15,3.42,3.6,3.69,3.9,4.25,4.25,-0.0110649862806566,2.77035920109382,-5.21174088838176,22.6731238740332,-1.74672489082969,2.221100454316,-1.92307692307693,-8.92857142857143,9.30251425284135,15.5132232242375,0.269520903359726,3.27371930888148,0.106180403195756,3.36254779139124,0.237732,2.3579552,1.9164037590481,7.07713968955454
"609",12962,0.298287827868037,-0.994811715481165,0.42861523283873,1504.11,1640360000,1.21133405783656,0.743619330565768,0.78583299708522,0.745626119300167,2.09609905938153,-1.42730118082232,-0.15285714285715,0.952033250954854,-7.50798722044728,1.05,1.01,-0.52,-0.03,0.15,0.01,-0.19,0.610514414923677,-2.44228839076614,-0.885759709289129,-0.981873111782477,-1.9889502762431,-2.26954328943682,3.33,3.49,3.66,3.17,1.87,2.99,3.14,3.46,3.65,3.76,3.97,4.3,4.22,-0.0110649862806566,2.77035920109382,-5.21174088838176,22.6731238740332,-1.74672489082969,2.221100454316,-1.92307692307693,-8.92857142857143,9.30251425284135,15.5132232242375,0.269520903359726,3.27371930888148,0.106180403195756,3.36254779139124,0.237732,2.3579552,1.9164037590481,7.07713968955454
"610",12963,0.704070845882277,0.298287827868037,-0.994811715481165,1493.52,1731500000,0.392834695160277,0.574223361258246,-0.0711114097417022,0.545252542517743,0.199538567063661,-0.324376594370497,-0.0758301975877374,0.733023618104429,1.64075993091537,-0.07,0.35,0.05,0.12,0.06,0.01,-0.11,0.134846611978879,-1.86899862825789,0.20623281393218,0.22883295194508,-0.549605411499432,1.59116972477064,3.34,3.50438,3.69,3.2,1.87,2.95,3.13,3.44,3.65,3.77,3.99,4.33,4.24,-0.0110649862806566,2.77035920109382,-5.21174088838176,22.6731238740332,-1.74672489082969,2.221100454316,-1.92307692307693,-8.92857142857143,9.30251425284135,15.5132232242375,0.269520903359726,3.27371930888148,0.106180403195756,3.36254779139124,0.237732,2.3579552,1.9164037590481,7.07713968955454
"611",12964,0.200198189512026,0.704070845882277,0.298287827868037,1490.53,1176200000,0.127823863932804,0.0578144396471713,-0.533855188103064,0.0611995104039191,-0.482295102371029,-2.17684833917348,1.1426116838488,0.0704215628063671,2.29396771452846,-0.63,0.22,0.25,-0.02,0.12,0.01,0.27,0,-1.048401188188,-0.320146352618348,-2.13089802130898,-0.410939492702293,-1.49569634542119,3.34,3.51625,3.71,3.35,1.87,2.99,3.13,3.45,3.66,3.72,3.94,4.28,4.19,-0.0110649862806566,2.77035920109382,-5.21174088838176,22.6731238740332,-1.74672489082969,2.221100454316,-1.92307692307693,-8.92857142857143,9.30251425284135,15.5132232242375,0.269520903359726,3.27371930888148,0.106180403195756,3.36254779139124,0.237732,2.3579552,1.9164037590481,7.07713968955454
"612",12969,0.55100076343479,-1.06136743306072,0.200198189512026,1498.05,1592080000,-0.187256310281131,-0.427390173054093,-0.374315747005732,-0.225952499388734,1.58466036327445,-0.786324166076259,-0.18042775256415,-0.275805570726377,2.45614035087719,0.92,0.6,-0.16,0.22,-0.32,0.012,0.57,0.0110582771204146,1.01505667399763,-1.14539504441329,3.93215111796453,-0.306524594949641,4.23929716915353,3.34,3.55,3.77813,3.27,1.84,3.03,3.22,3.55,3.79,3.9,4.11,4.43,4.34,0.304880323282558,3.8734516237027,9.37509122705388,37.1349020798074,2.12345679012346,13.1291028446389,-1.96078431372548,-10.7142857142857,2.16396761133603,16.5494041937371,0.502062317519658,3.75249182680807,0.432334752394794,4.61619971979957,0.074891,2.1993552,1.21693835322559,6.68581993533295
"613",12970,-0.382497246420348,0.55100076343479,-1.06136743306072,1503.78,1617860000,0.313536018092563,0.257187231870367,0.177914023561403,0.0185903448508993,-0.75930376743261,-0.529140757408483,2.92543207130045,0.559982474876096,5.0513698630137,-0.73,0.1,0.07,-0.27,0.05,0.012,-0.23,-0.0663423264042484,2.56238486015743,0.141877512414288,-1.48367952522255,1.25915080527087,2.8494983277592,3.34,3.56,3.77438,2.99,1.85,3.04,3.19,3.53,3.77,3.86,4.08,4.4,4.31,0.304880323282558,3.8734516237027,9.37509122705388,37.1349020798074,2.12345679012346,13.1291028446389,-1.96078431372548,-10.7142857142857,2.16396761133603,16.5494041937371,0.502062317519658,3.75249182680807,0.432334752394794,4.61619971979957,0.074891,2.1993552,1.21693835322559,6.68581993533295
